log_id,machine_id,voltage,current,wire_feed_speed,temperature,timestamp,anomaly_score,Status
1,Warrior-500i,23.2803411690427,176.08228862083888,14.978004541897274,70.50154815154647,2026-09-18 12:13:39,1,Healthy
2,Rogue-ET,27.39160696506144,279.00430843914614,14.338308908619792,63.4133286389517,2026-09-18 12:13:39,1,Healthy
3,Aristo-500ix,33.62025725410536,228.60126560757533,15.230148562134827,59.88529122652241,2026-09-18 12:13:39,1,Healthy
4,Warrior-500i,33.91527014181639,249.31921761955007,16.006583689459145,57.76336757725259,2026-09-18 12:18:39,1,Healthy
5,Rogue-ET,29.592690079619118,214.75988854922412,10.513278899842163,56.44600808281829,2026-09-18 12:18:39,1,Healthy
6,Aristo-500ix,22.283520316004328,258.4201325858258,16.436589360926586,53.55853671563845,2026-09-18 12:18:39,1,Healthy
7,Warrior-500i,30.868053224732115,294.1049739435598,11.785829489736134,53.70463648769853,2026-09-18 12:23:39,1,Healthy
8,Rogue-ET,36.35214018417083,230.29626200636136,13.455923193475495,71.43494037735287,2026-09-18 12:23:39,1,Healthy
9,Aristo-500ix,28.428302432206976,197.71324578566595,11.442320438881762,49.74705163170832,2026-09-18 12:23:39,1,Healthy
10,Warrior-500i,35.09890182154066,175.81564945869263,17.4263906715152,60.887290135774705,2026-09-18 12:28:39,1,Healthy
11,Rogue-ET,27.17449100785254,216.62628947363527,12.328464175942592,70.66764384485026,2026-09-18 12:28:39,1,Healthy
12,Aristo-500ix,29.78737285427233,225.86959349010866,13.282723913931598,58.45840861664404,2026-09-18 12:28:39,1,Healthy
13,Warrior-500i,28.337608688885545,212.12180701059316,17.19889295420986,46.57893132900917,2026-09-18 12:33:39,1,Healthy
14,Rogue-ET,22.822635057256,151.54698482947117,10.532068016686907,69.22465503047854,2026-09-18 12:33:39,1,Healthy
15,Aristo-500ix,27.60873510344942,272.6897273234666,10.076912027437851,74.27187218033527,2026-09-18 12:33:39,1,Healthy
16,Warrior-500i,32.428460404942236,184.56710697331846,13.646189066091884,66.61520317696531,2026-09-18 12:38:39,1,Healthy
17,Rogue-ET,25.156956841264517,179.08740263291585,13.182713916526032,55.95925637552127,2026-09-18 12:38:39,1,Healthy
18,Aristo-500ix,22.81527423647644,205.00391571784027,12.426619471755192,72.88264631798404,2026-09-18 12:38:39,1,Healthy
19,Warrior-500i,33.606810796503076,264.6785889267118,11.346354103586188,70.53752235594898,2026-09-18 12:43:39,1,Healthy
20,Rogue-ET,33.74543913688572,238.88683867543088,11.907985893165392,54.53896420876742,2026-09-18 12:43:39,1,Healthy
21,Aristo-500ix,27.422045786421116,266.53850253177814,11.250271230773002,59.47113569249616,2026-09-18 12:43:39,1,Healthy
22,Warrior-500i,31.47180177785945,195.64574774486763,12.547918707967877,55.99375661858936,2026-09-18 12:48:39,1,Healthy
23,Rogue-ET,28.908922309354303,224.17441445919454,13.611074310116685,57.811772677494794,2026-09-18 12:48:39,1,Healthy
24,Aristo-500ix,23.060635947754584,222.77091909028542,10.96671106090866,74.65862094352481,2026-09-18 12:48:39,1,Healthy
25,Warrior-500i,28.464488406176365,267.4391760586434,13.386660140593463,46.821553961636035,2026-09-18 12:53:39,1,Healthy
26,Rogue-ET,33.527937699225745,274.52079334738823,12.663652553350728,71.64001776587241,2026-09-18 12:53:39,1,Healthy
27,Aristo-500ix,23.722074814289403,225.44422138089809,13.39970273883402,50.820726629163815,2026-09-18 12:53:39,1,Healthy
28,Warrior-500i,32.130083455814855,239.04358591137859,13.929969096786243,73.80485905054711,2026-09-18 12:58:39,1,Healthy
29,Rogue-ET,27.65167322317425,203.54863638810826,14.07158654584889,53.43717060932805,2026-09-18 12:58:39,1,Healthy
30,Aristo-500ix,30.112434038170313,225.86232544928234,14.25044389713198,49.22240093737529,2026-09-18 12:58:39,1,Healthy
